price_lvl,ADV_3months_lvl,trades
0.67,0.0,2347
0.67,18242.0,68
0.67,59853.5,1174
0.67,214462.99999999997,3291
0.67,341792.0,3628
0.67,509925.50000000006,5646
0.67,809898.5,14456
0.67,1286014.0,24185
0.67,2366883.0,57597
0.67,6831108.0,146116
2.65,0.0,6625
2.65,18242.0,2835
2.65,59853.5,4417
2.65,214462.99999999997,14406
2.65,341792.0,10976
2.65,509925.50000000006,17102
2.65,809898.5,25033
2.65,1286014.0,34902
2.65,2366883.0,66368
2.65,6831108.0,115377
5.51,0.0,9755
5.51,18242.0,5024
5.51,59853.5,6719
5.51,214462.99999999997,8648
5.51,341792.0,10695
5.51,509925.50000000006,19745
5.51,809898.5,23689
5.51,1286014.0,33627
5.51,2366883.0,31538
5.51,6831108.0,96089
9.36,0.0,5779
9.36,18242.0,2139
9.36,59853.5,2143
9.36,214462.99999999997,4857
9.36,341792.0,5142
9.36,509925.50000000006,10638
9.36,809898.5,14119
9.36,1286014.0,9135
9.36,2366883.0,29419
9.36,6831108.0,132907
12.1,0.0,4456
12.1,18242.0,2132
12.1,59853.5,3921
12.1,214462.99999999997,3746
12.1,341792.0,8222
12.1,509925.50000000006,7658
12.1,809898.5,8432
12.1,1286014.0,14574
12.1,2366883.0,44555
12.1,6831108.0,118715
15.61,0.0,5368
15.61,18242.0,2796
15.61,59853.5,4036
15.61,214462.99999999997,3986
15.61,341792.0,7311
15.61,509925.50000000006,7025
15.61,809898.5,14391
15.61,1286014.0,25272
15.61,2366883.0,56848
15.61,6831108.0,127675
21.47000000000001,0.0,6156
21.47000000000001,18242.0,1167
21.47000000000001,59853.5,2403
21.47000000000001,214462.99999999997,3329
21.47000000000001,341792.0,3441
21.47000000000001,509925.50000000006,13450
21.47000000000001,809898.5,11765
21.47000000000001,1286014.0,17876
21.47000000000001,2366883.0,41863
21.47000000000001,6831108.0,202469
31.96,0.0,3492
31.96,18242.0,966
31.96,59853.5,1709
31.96,214462.99999999997,3190
31.96,341792.0,7654
31.96,509925.50000000006,6594
31.96,809898.5,18068
31.96,1286014.0,21729
31.96,2366883.0,54351
31.96,6831108.0,250674
47.435,0.0,2158
47.435,18242.0,1642
47.435,59853.5,1476
47.435,214462.99999999997,3807
47.435,341792.0,5597
47.435,509925.50000000006,10355
47.435,809898.5,12611
47.435,1286014.0,30171
47.435,2366883.0,58661
47.435,6831108.0,363542
77.30000000000001,0.0,1402
77.30000000000001,18242.0,238
77.30000000000001,59853.5,496
77.30000000000001,214462.99999999997,3336
77.30000000000001,341792.0,7309
77.30000000000001,509925.50000000006,8763
77.30000000000001,809898.5,20380
77.30000000000001,1286014.0,35070
77.30000000000001,2366883.0,202229
77.30000000000001,6831108.0,352455
175.005,0.0,756
175.005,18242.0,374
175.005,59853.5,431
175.005,214462.99999999997,9205
175.005,341792.0,4529
175.005,509925.50000000006,12331
175.005,809898.5,18046
175.005,1286014.0,129687
175.005,2366883.0,400958
175.005,6831108.0,646405
