,open_price,open_time,open_size,close_price,close_time,close_size,pre_max_price,pre_min_price,pre_std_price,pre_median_price,pre_volume,intraday_max_price,intraday_min_price,intraday_std_price,intraday_median_price,intraday_volume,post_max_price,post_min_price,post_std_price,post_median_price,post_volume,symbol
0,509.77,09:30:00.783132,197114,480.01,16:00:00.507321,168900,531.0,506.16,5.436155399507985,521.0,414222,515.74,468.39,10.9983730454364,486.68,6149155,487.2174,474.11,1.8223278433808072,479.53,85204,TSLA
1,1911.23,09:30:00.985544,30849,1906.59,16:00:00.315196,269650,1922.5,1899.0,5.102460097689082,1915.49,30608,1926.33,1889.0,9.15217435654403,1899.41,1754960,1908.0,1896.08,2.144227798293889,1905.64,32112,AMZN
2,96.31,09:30:01.163834,149891,93.88,16:02:01.092189,764068,97.11,95.72,0.28570361105434994,96.6,25500,96.97,84.45,0.6995093482084158,93.93,2874292,94.0,93.36,0.09994969744942239,93.88,35326,DIS
3,155.04,09:30:01.117642,400515,153.83,16:00:00.375980,3384589,155.88,152.88,0.5952099252207869,154.92,64838,159.7593,152.19,1.3433319234189753,153.91,6192539,159.17,145.5782,0.34206921060688317,153.84,38879,MSFT
4,367.42,09:30:01.068017,43080,361.76,16:00:00.366813,384065,370.4899,364.0,1.235679876647995,368.75,14756,370.98,357.5,2.716546693625643,361.18,1161440,362.5,359.15,0.43814734320077203,361.75,10200,NFLX
5,124.01,09:30:01.098431,105810,128.2,16:00:00.233936,212895,127.82,118.98,1.9551480814857347,124.79,44608,128.48,120.11,1.816905401007082,124.2,2157062,128.88,124.7216,0.4999064471867834,127.9,32181,ZM
6,125.0,09:30:00.815668,162971,124.52,16:02:00.923246,639922,125.95,121.15,0.9004968863209811,124.6,115821,131.29,121.65,1.7795439408183,125.88,5205502,159.55,122.5,0.9139605260769422,124.23,70261,BA
7,32.81,09:30:01.030455,130681,34.84,16:00:00.780610,215712,33.33,32.17,0.22381232951061833,32.88,10976,35.66,32.72,0.6509199437449525,34.38,1931696,35.09,34.59,0.0992331815479686,34.8298,14272,MRNA
8,1114.71,09:30:00.739190,32815,1092.7,16:00:00.630288,200957,1120.79,1104.44,3.2447328445034644,1113.7,13481,1120.0,1075.06,10.619883880056955,1091.98,1376643,1099.99,1080.05,1.6979105286158758,1092.7,12461,GOOGL
9,253.96,09:30:00.790070,84666,243.91,16:00:00.495246,543826,256.41,251.9,0.9598751999065614,254.88,28747,255.67,238.39,3.8779488553708212,243.68,3054118,244.5,242.19,0.5291622690855251,243.8,20213,NVDA
10,59.01,09:30:01.018010,37204,59.91,16:00:00.574268,88466,60.0,58.0,0.3262127518833365,59.2,6880,60.85,57.12,0.9394624557878574,58.682599999999994,526656,60.44,59.51,0.17070074409909716,59.91,3744,BYND
11,190.0,09:30:00.727675,126997,187.11,16:02:00.697408,1068265,190.78,187.27,0.8260653022923126,188.9,24736,190.79,185.41,1.2682836899781418,187.03,1394064,189.093796,186.8,0.15544110095371205,187.2,6928,BABA
12,157.15,09:30:00.862171,185589,154.18,16:00:00.327655,2633641,158.99,155.86,0.5378476505180034,157.74,27600,158.19,150.83,1.688265591986468,153.52,4006240,154.64,153.37,0.1909455154622378,154.24,19520,FB
