,symbol,splits
0,SNDL,[]
1,GNUS,"[{'ticker': 'GNUS', 'exDate': '2016-11-09', 'paymentDate': '2016-11-09', 'declaredDate': '2016-11-09', 'ratio': 3, 'tofactor': 3, 'forfactor': 1}]"
2,NOK,"[{'ticker': 'NOK', 'exDate': '2000-04-11', 'paymentDate': '2000-04-11', 'ratio': 0.25}, {'ticker': 'NOK', 'exDate': '1999-04-12', 'paymentDate': '1999-04-12', 'ratio': 0.5}, {'ticker': 'NOK', 'exDate': '1998-04-16', 'paymentDate': '1998-04-16', 'ratio': 0.5}]"
3,TOPS,"[{'ticker': 'TOPS', 'exDate': '2020-08-10', 'paymentDate': '2020-08-10', 'declaredDate': '2020-08-10', 'ratio': 25, 'tofactor': 25, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2019-08-22', 'paymentDate': '2019-08-22', 'declaredDate': '2019-08-22', 'ratio': 20, 'tofactor': 20, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2018-03-26', 'paymentDate': '2018-03-26', 'declaredDate': '2018-03-26', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2017-10-06', 'paymentDate': '2017-10-06', 'declaredDate': '2017-10-06', 'ratio': 2, 'tofactor': 2, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2017-08-03', 'paymentDate': '2017-08-03', 'declaredDate': '2017-08-03', 'ratio': 30, 'tofactor': 30, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2017-06-23', 'paymentDate': '2017-06-23', 'declaredDate': '2017-06-23', 'ratio': 15, 'tofactor': 15, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2017-05-11', 'paymentDate': '2017-05-11', 'declaredDate': '2017-05-11', 'ratio': 20, 'tofactor': 20, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2016-02-22', 'paymentDate': '2016-02-22', 'declaredDate': '2016-02-22', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2014-04-21', 'paymentDate': '2014-04-21', 'declaredDate': '2014-04-21', 'ratio': 7, 'tofactor': 7, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2011-06-24', 'paymentDate': '2011-06-24', 'ratio': 10}, {'ticker': 'TOPS', 'exDate': '2008-03-20', 'paymentDate': '2008-03-20', 'ratio': 3.000030000300003}]"
4,IBIO,"[{'ticker': 'IBIO', 'exDate': '2018-06-11', 'paymentDate': '2018-06-11', 'declaredDate': '2018-06-11', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
5,SNDL,[]
6,GNUS,"[{'ticker': 'GNUS', 'exDate': '2016-11-09', 'paymentDate': '2016-11-09', 'declaredDate': '2016-11-09', 'ratio': 3, 'tofactor': 3, 'forfactor': 1}]"
7,NOK,"[{'ticker': 'NOK', 'exDate': '2000-04-11', 'paymentDate': '2000-04-11', 'ratio': 0.25}, {'ticker': 'NOK', 'exDate': '1999-04-12', 'paymentDate': '1999-04-12', 'ratio': 0.5}, {'ticker': 'NOK', 'exDate': '1998-04-16', 'paymentDate': '1998-04-16', 'ratio': 0.5}]"
8,TOPS,"[{'ticker': 'TOPS', 'exDate': '2020-08-10', 'paymentDate': '2020-08-10', 'declaredDate': '2020-08-10', 'ratio': 25, 'tofactor': 25, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2019-08-22', 'paymentDate': '2019-08-22', 'declaredDate': '2019-08-22', 'ratio': 20, 'tofactor': 20, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2018-03-26', 'paymentDate': '2018-03-26', 'declaredDate': '2018-03-26', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2017-10-06', 'paymentDate': '2017-10-06', 'declaredDate': '2017-10-06', 'ratio': 2, 'tofactor': 2, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2017-08-03', 'paymentDate': '2017-08-03', 'declaredDate': '2017-08-03', 'ratio': 30, 'tofactor': 30, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2017-06-23', 'paymentDate': '2017-06-23', 'declaredDate': '2017-06-23', 'ratio': 15, 'tofactor': 15, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2017-05-11', 'paymentDate': '2017-05-11', 'declaredDate': '2017-05-11', 'ratio': 20, 'tofactor': 20, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2016-02-22', 'paymentDate': '2016-02-22', 'declaredDate': '2016-02-22', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2014-04-21', 'paymentDate': '2014-04-21', 'declaredDate': '2014-04-21', 'ratio': 7, 'tofactor': 7, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2011-06-24', 'paymentDate': '2011-06-24', 'ratio': 10}, {'ticker': 'TOPS', 'exDate': '2008-03-20', 'paymentDate': '2008-03-20', 'ratio': 3.000030000300003}]"
9,IBIO,"[{'ticker': 'IBIO', 'exDate': '2018-06-11', 'paymentDate': '2018-06-11', 'declaredDate': '2018-06-11', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
