symbol,sector,industry,trades,p_lvl,adv_lvl
TSLA,Consumer Cyclical,Auto Manufacturers,236923,4,2
AMZN,Consumer Cyclical,Internet Retail,197534,4,2
AAPL,Technology,Consumer Electronics,187511,3,2
DIS,Communication Services,Entertainment,68991,4,2
MSFT,Technology,SoftwareÑInfrastructure,68543,4,2
NIO,Consumer Cyclical,Auto Manufacturers,55895,2,2
ACB,Healthcare,Drug ManufacturersÑSpecialty & Generic,49986,1,2
DAL,Industrials,Airlines,48397,2,2
NFLX,Communication Services,Entertainment,42458,4,2
F,Consumer Cyclical,Auto Manufacturers,41012,1,2
AAL,Industrials,Airlines,40612,1,2
ZM,Communication Services,Telecom Services,39126,4,2
BA,Industrials,Aerospace & Defense,39089,4,2
SNDL,Healthcare,Drug ManufacturersÑSpecialty & Generic,35787,0,2
MRNA,Healthcare,Biotechnology,35690,4,2
PFE,Healthcare,Drug ManufacturersÑGeneral,35121,2,2
T,Communication Services,Telecom Services,34610,2,2
GOOGL,Communication Services,Internet Content & Information,32831,4,2
NVDA,Technology,Semiconductors,31972,4,2
AMD,Technology,Semiconductors,30978,3,2
BYND,Consumer Defensive,Packaged Foods,28352,4,2
NKLA,Consumer Cyclical,Auto Manufacturers,27989,2,2
CCL,Consumer Cyclical,Travel Services,27696,2,2
SBUX,Consumer Cyclical,Restaurants,27629,3,2
GE,Industrials,Specialty Industrial Machinery,27402,1,2
WMT,Consumer Defensive,Discount Stores,25949,3,2
BABA,Consumer Cyclical,Internet Retail,25492,4,2
SPCE,Industrials,Aerospace & Defense,25261,2,2
XOM,Energy,Oil & Gas Integrated,24922,2,2
FB,Communication Services,Internet Content & Information,24677,4,2
SQ,Technology,SoftwareÑInfrastructure,23695,4,2
SHOP,Technology,SoftwareÑApplication,23377,4,1
KO,Consumer Defensive,BeveragesÑNon-Alcoholic,22807,2,2
DKNG,Consumer Cyclical,Gambling,21753,3,2
COST,Consumer Defensive,Discount Stores,21387,4,2
LUV,Industrials,Airlines,20685,2,2
PLUG,Industrials,Electrical Equipment & Parts,19341,3,2
WKHS,Consumer Cyclical,Auto Manufacturers,18906,2,2
PLTR,Technology,SoftwareÑInfrastructure,18457,2,2
UBER,Technology,SoftwareÑApplication,17470,2,2
AMC,Communication Services,Entertainment,17420,1,2
JNJ,Healthcare,Drug ManufacturersÑGeneral,17278,4,2
FCEL,Industrials,Electrical Equipment & Parts,16410,2,2
GNUS,Communication Services,Entertainment,16382,0,2
INO,Healthcare,Biotechnology,16355,1,2
HEXO,Healthcare,Drug ManufacturersÑSpecialty & Generic,16285,1,2
NCLH,Consumer Cyclical,Travel Services,15912,2,2
PYPL,Financial Services,Credit Services,15394,4,2
BAC,Financial Services,BanksÑDiversified,15129,2,2
CGC,Healthcare,Drug ManufacturersÑSpecialty & Generic,14750,2,2
TGT,Consumer Defensive,Discount Stores,14265,4,2
BNGO,Healthcare,Diagnostics & Research,14130,1,2
V,Financial Services,Credit Services,13792,4,2
NKE,Consumer Cyclical,Footwear & Accessories,13767,3,2
WORK,Technology,SoftwareÑApplication,13587,2,2
MMM,Industrials,Specialty Industrial Machinery,13551,4,2
UAL,Industrials,Airlines,13456,2,2
JPM,Financial Services,BanksÑDiversified,13111,3,2
INTC,Technology,Semiconductors,12833,2,2
ROKU,Communication Services,Entertainment,12744,4,2
SOLO, , ,12435,1,2
ABBV,Healthcare,Drug ManufacturersÑGeneral,12047,3,2
SRNE,Healthcare,Biotechnology,11873,1,2
PINS,Communication Services,Internet Content & Information,11843,3,2
TLRY,Healthcare,Drug ManufacturersÑSpecialty & Generic,11791,2,2
TDOC,Healthcare,Health Information Services,11683,4,2
WFC,Financial Services,BanksÑDiversified,11482,2,2
SNAP,Communication Services,Internet Content & Information,11312,3,2
VZ,Communication Services,Telecom Services,11179,2,2
CRON,Healthcare,Drug ManufacturersÑSpecialty & Generic,11002,1,2
VXRT,Healthcare,Biotechnology,10543,1,2
APHA,Healthcare,Drug ManufacturersÑSpecialty & Generic,10525,1,2
NOK,Technology,Communication Equipment,10517,0,2
