,symbol,trades,Name,sector,industry,Qtype,price,Day_pcnt_change,bid,ask,bidsize,asksize,marketCap,ADV_3months,ADV_10days,beta,NextEarningsDate,SharesOutstanding,FloatShares,HeldInsidersPercent,HeldInstitutionsPercent,SharesShort,ShortRatio,ShortPercentFloat,PE_TTM,PEGRatio,PriceToSales,PriceToBookRatio,Unnamed: 27,ROE,DtoEq,PayoutRatio,price_lvl,ADV_3months_lvl,marketCap_lvl
0,TSLA,236923,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,EQUITY,863.42,1.3130262,0.0,0.0,900,1100,818000000000.0,43642508.0,28949642.0,2.090715,,947900992.0,762045810,0.19985001,0.42529,56367815,1.09,0.074200004,53.556521999999994,0.65,25.952456,36.945656,,0.04536,49.575,0,175.005,6831108.0,6831108.0
1,AMZN,197534,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,EQUITY,3322.94,-0.8713799999999999,3311.0,3316.95,800,1100,1670000000000.0,3932761.0,4283357.0,1.143009,,500889984.0,429329229,0.14556,0.58663,3141707,0.86,0.0074,53.556521999999994,1.7,4.3342977,17.894709,,0.27442,108.377,0,175.005,2366883.0,6831108.0
2,AAPL,187511,Apple Inc.,Technology,Consumer Electronics,EQUITY,136.91,0.10968789,136.67,136.6,1800,2200,2300000000000.0,106828132.0,102804466.0,1.267876,,16788100096.0,16770972142,0.00065,0.59661996,99897228,0.88,0.006,53.556521999999994,2.02,7.814299,34.784046,,0.82089996,169.188,0.2177,77.30000000000001,6831108.0,6831108.0
4,DIS,68991,The Walt Disney Company,Communication Services,Entertainment,EQUITY,190.0,4.8796625,191.2,191.29,1000,2900,345000000000.0,12174838.0,11603871.0,1.197972,2/11/21,1814259968.0,1807968463,0.00203,0.65573996,18616363,1.89,0.010299999,53.556521999999994,2.74,5.2717533,4.1145134,,-0.02438,63.913,0,175.005,6831108.0,6831108.0
5,MSFT,68543,Microsoft Corporation,Technology,SoftwareÑInfrastructure,EQUITY,242.47,0.111479886,0.0,0.0,1300,1300,1830000000000.0,29752746.0,43281000.0,0.816969,,7560500224.0,7431722306,0.00059,0.71844,41952779,1.54,0.0056,53.556521999999994,1.82,11.930548,14.048902,,0.42696998,63.563,0.31149998,175.005,6831108.0,6831108.0
7,NIO,55895,NIO Limited,Consumer Cyclical,Auto Manufacturers,EQUITY,59.07,4.235048,0.0,0.0,3000,1200,92084813824.0,174941900.0,79134714.0,2.785277,5/28/20,1558909952.0,1112908977,0.00562,0.36334,68762591,0.49,0,53.556521999999994,4215.73,0,9.7186575,,-1.1634101,69.382,0,47.435,6831108.0,6831108.0
8,ACB,49986,Aurora Cannabis Inc.,Healthcare,Drug ManufacturersÑSpecialty & Generic,EQUITY,14.87,16.171873,14.98,14.93,2900,900,2923293184.0,36706213.0,25905071.0,3.197265, ,197391008.0,160177293,0.00197,0.14139,33219261,1.4,0,53.556521999999994,0,0,4.3239317,,-1.03284,23.54,0,12.1,6831108.0,809898.5
9,DAL,48397,"Delta Air Lines, Inc.",Industrials,Airlines,EQUITY,43.24,5.0789795,43.3,43.33,1400,1000,27575619584.0,14892703.0,15046071.0,1.450907,,637734016.0,632663200,0.00347,0.61368,10596840,0.91,0.0167,53.556521999999994,0.71,1.613081,20.290943,,-1.48226,2708.647,0,31.96,6831108.0,2366883.0
12,NFLX,42458,"Netflix, Inc.",Communication Services,Entertainment,EQUITY,547.92,-0.5210689000000001,0.0,0.0,1000,900,243000000000.0,5037106.0,5501085.0,0.832443,,441795008.0,437062330,0.015470001,0.81918,7191277,1.91,0.0166,53.556521999999994,1.33,9.708373,21.930836,,0.29617,167.288,0,175.005,2366883.0,6831108.0
13,F,41012,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,EQUITY,11.56,0.43440652,11.51,11.53,28000,41800,45993660416.0,76982454.0,93812200.0,1.196905,,3907840000.0,3898365165,0.00191,0.52101004,93409312,1.37,0.026400002,53.556521999999994,0.49,0.36174464,1.498574,,-0.03985,529.025,0,9.36,6831108.0,6831108.0
